Number of edges in topo:
12
Toa do cac canh <x1, y1, z1>, <x2, y2, z2>:
1942.48	1254.76	42.55	954.03	1419.21	88.79
1528.09	2139.43	67.08	218.67	651.82	2.28
1308.98	747.04	70.4	218.67	651.82	2.28
954.03	1419.21	88.79	1942.48	1254.76	42.55
954.03	1419.21	88.79	218.67	651.82	2.28
2107.37	2247	93.9	218.67	651.82	2.28
2038.59	3.39	0.31	218.67	651.82	2.28
218.67	651.82	2.28	1528.09	2139.43	67.08
218.67	651.82	2.28	1308.98	747.04	70.4
218.67	651.82	2.28	954.03	1419.21	88.79
218.67	651.82	2.28	2107.37	2247	93.9
218.67	651.82	2.28	2038.59	3.39	0.31
