Number of edges in topo:
18
Toa do cac canh <x1, y1, z1>, <x2, y2, z2>:
2336.41	1270.36	9.08	1320.26	1581.43	45.74
799.41	460.97	28.1	1320.26	1581.43	45.74
1320.26	1581.43	45.74	2336.41	1270.36	9.08
1320.26	1581.43	45.74	799.41	460.97	28.1
1320.26	1581.43	45.74	2626.11	1554.16	94.36
1320.26	1581.43	45.74	1913.13	2873.08	24.07
1320.26	1581.43	45.74	2028.37	867.19	67.18
1320.26	1581.43	45.74	672.12	2003.5	84.44
1320.26	1581.43	45.74	20.15	1806.51	38.68
2626.11	1554.16	94.36	1320.26	1581.43	45.74
2626.11	1554.16	94.36	2085.42	203.98	25.48
1913.13	2873.08	24.07	1320.26	1581.43	45.74
2028.37	867.19	67.18	1320.26	1581.43	45.74
2085.42	203.98	25.48	2626.11	1554.16	94.36
672.12	2003.5	84.44	1320.26	1581.43	45.74
672.12	2003.5	84.44	1033.39	2341.56	67.53
1033.39	2341.56	67.53	672.12	2003.5	84.44
20.15	1806.51	38.68	1320.26	1581.43	45.74
