Number of edges in topo:
14
Toa do cac canh <x1, y1, z1>, <x2, y2, z2>:
1589.71	1995.93	50.17	1274.6	2435.48	19.73
1627.03	1989.89	23.34	1051.89	778.69	69.38
1502.1	281.16	51.58	1051.89	778.69	69.38
2094.6	2301.98	49.82	694.03	1631.3	91.73
2094.6	2301.98	49.82	1051.89	778.69	69.38
694.03	1631.3	91.73	2094.6	2301.98	49.82
694.03	1631.3	91.73	1274.6	2435.48	19.73
1274.6	2435.48	19.73	1589.71	1995.93	50.17
1274.6	2435.48	19.73	694.03	1631.3	91.73
1274.6	2435.48	19.73	277.96	743.39	39.64
277.96	743.39	39.64	1274.6	2435.48	19.73
1051.89	778.69	69.38	1627.03	1989.89	23.34
1051.89	778.69	69.38	1502.1	281.16	51.58
1051.89	778.69	69.38	2094.6	2301.98	49.82
