Number of edges in topo:
16
Toa do cac canh <x1, y1, z1>, <x2, y2, z2>:
2868.59	372.08	47.08	2457	1874.77	73.86
2570.69	130.17	69.16	2493.39	469.51	45.73
2936.96	849.8	13.38	2493.39	469.51	45.73
2699.95	580.3	75.44	2457	1874.77	73.86
2699.95	580.3	75.44	2493.39	469.51	45.73
1038.78	1255.88	15.57	1492.73	2265.44	74.24
2457	1874.77	73.86	2868.59	372.08	47.08
2457	1874.77	73.86	2699.95	580.3	75.44
2457	1874.77	73.86	1492.73	2265.44	74.24
2415.34	201.67	95.08	2493.39	469.51	45.73
1492.73	2265.44	74.24	1038.78	1255.88	15.57
1492.73	2265.44	74.24	2457	1874.77	73.86
2493.39	469.51	45.73	2570.69	130.17	69.16
2493.39	469.51	45.73	2936.96	849.8	13.38
2493.39	469.51	45.73	2699.95	580.3	75.44
2493.39	469.51	45.73	2415.34	201.67	95.08
